plan,district,perimeter,area,polsby_popper,schwartzberg,reock,convex_hull
evers24_wss,17,523097.480106339,10390749307.3113,0.4771901550252877,0.6907895157175503,0.34226771214066176,0.8618345525789923
evers24_wss,18,163112.365877027,234802505.504364,0.11090185662170875,0.33301930367729243,0.1893737053249563,0.5150826352635691
evers24_wss,19,446530.863355148,5225038622.85525,0.3293035445192211,0.5738497577931188,0.360921308815061,0.8210973253333739
evers24_wss,2,457545.024496533,5121724662.88455,0.3074386168554013,0.5544714752405224,0.459092514208296,0.8127822709634048
evers24_wss,20,318574.490846956,2124096791.52616,0.2630038897309407,0.5128390485629392,0.42420066095688674,0.7110596340665531
evers24_wss,21,113848.320679683,381144936.428233,0.3695274972545409,0.6078877340879161,0.3498802346465331,0.7602911226340354
evers24_wss,22,93389.7709453508,277684721.579191,0.40009509651088376,0.6325307079588183,0.49496843056785517,0.8517574540819165
evers24_wss,23,732799.167047931,17635443273.7548,0.41269224716976816,0.642411275718109,0.4529607418622883,0.7443138546141534
evers24_wss,24,567461.258458217,8715274004.99011,0.3401092753452697,0.5831888847922855,0.3197117874745453,0.7302334824240672
evers24_wss,25,1284920.17581987,22593810519.1095,0.17196776595909405,0.4146899636585072,0.35817921886252363,0.707279821501846
evers24_wss,26,83543.1947369512,174242961.640609,0.3137205375418809,0.5601076124655697,0.39101179708738115,0.7901057565689885
evers24_wss,27,172162.603787032,898513388.876607,0.38094017098319777,0.6172035085635837,0.5325821833812155,0.7973902356768985
evers24_wss,28,152787.105731139,625598955.2069,0.3367692817235798,0.5803182589955099,0.5315779790333309,0.7929326320684366
evers24_wss,29,439652.404501179,5781951904.16338,0.37589403445812225,0.6131019772094379,0.37295683730084506,0.8316457259619288
evers24_wss,3,42669.0259905834,64428660.2252162,0.44469628959237795,0.6668555237773607,0.5893209250457175,0.8647788735394947
evers24_wss,30,150125.29769323,253291213.653685,0.14122846074711662,0.3758037529710375,0.3359824178352444,0.6366895586324559
evers24_wss,31,293047.034943633,3321362567.09114,0.48601703053393236,0.6971492168351997,0.3667756445967324,0.8685021831979359
evers24_wss,32,368408.17207984,4549421861.63307,0.421218622784699,0.6490135767337222,0.4145037305333626,0.8122343256061677
evers24_wss,33,247839.175833342,1822363170.11814,0.37282487536928094,0.6105938710544686,0.5213777542175342,0.7932885674802793
evers24_wss,4,80598.3164059445,117635673.073022,0.22756054521865393,0.4770330651209137,0.3375187949235592,0.7079127308042258
evers24_wss,5,105451.273912073,224288591.216675,0.25346230838137945,0.5034504030998281,0.2957157147321017,0.7771742955154811
evers24_wss,6,54798.9127142841,57857169.3068175,0.24211581731146192,0.4920526570515211,0.3980118782665965,0.714525508508191
evers24_wss,7,87060.2282483742,148605795.65959,0.24638031634554805,0.49636711851768345,0.31769340328194035,0.7006351512187167
evers24_wss,8,187156.512042974,545364674.365643,0.1956532118720234,0.44232704175985377,0.292172671467084,0.6107204541598588
evers24_wss,9,295827.784713277,1862139187.49186,0.2673893348888372,0.5170970265712589,0.2696028420458713,0.638904146366583
everslc_wsa,1,595973.265393087,2419191740.3341,0.08559070399357352,0.29255888978729305,0.1617949318831911,0.5224252809645613
everslc_wsa,10,38209.1979002649,27326517.1814429,0.23521136685499247,0.4849859450076801,0.43051954638980794,0.6636298411802116
everslc_wsa,11,78721.4555985331,77400787.1045217,0.15695277893427426,0.39617266303251447,0.3578822051038804,0.6000193561976457
everslc_wsa,12,48048.9186140636,63799079.65584,0.3472618239393284,0.589289253201964,0.3078866030261148,0.7601471407814027
everslc_wsa,13,65149.1214987453,76229133.9728953,0.22569073045753027,0.47506918491681854,0.34568562123684954,0.6970652914338316
everslc_wsa,14,34198.3955707902,24498035.5618202,0.2632265319023017,0.5130560709145754,0.3662267583623624,0.7080006384441316
everslc_wsa,15,70093.4890068824,66405980.6239387,0.1698484946183624,0.4121267943465487,0.2024297777763257,0.6515825296733885
everslc_wsa,16,22921.5029904948,17864415.5383179,0.4272799295007605,0.6536665277500145,0.5135302026943627,0.7941195947102991
everslc_wsa,17,38806.702678152,22666049.2190082,0.1891351311961654,0.4348966902566234,0.2642562762849983,0.568797613962087
everslc_wsa,18,40799.8923415026,23721313.482902,0.1790731868929526,0.42317039935816936,0.239619373632258,0.4938345696795783
everslc_wsa,19,38801.0629342056,16584494.1622082,0.13842828798290782,0.3720595220968115,0.19561895936608248,0.46200107593469986
everslc_wsa,2,220648.909239571,889267580.18211,0.2295296285593373,0.4790925052214209,0.24767845344751185,0.6297578377370144
everslc_wsa,20,63223.09985452,68098886.7830814,0.21409094799639108,0.46269963042603685,0.43739548371110126,0.6438981975741729
everslc_wsa,21,60530.8500000701,67640504.7984802,0.23198673843439976,0.48165001654147144,0.35554791197369895,0.6571715859659671
everslc_wsa,22,107744.317739661,166149389.271929,0.17985390114048722,0.42409185460285276,0.37286130159730024,0.6965836114830878
everslc_wsa,23,115565.869330406,132642964.790794,0.12480583878492307,0.3532786984590538,0.2337633336346729,0.6132308828197115
everslc_wsa,24,199935.350246305,431336891.49684,0.1355961293501101,0.36823379713180876,0.17196154760083426,0.5740449283280464
everslc_wsa,25,185696.235149498,1202436403.9338,0.43819335000899867,0.6619617436143864,0.5423644862524336,0.8079237912862193
everslc_wsa,26,154018.240067739,433688139.199167,0.22974342750899565,0.47931558237657546,0.3794102830085418,0.848513289324905
everslc_wsa,27,189368.699777357,674251187.678877,0.23627359514951152,0.48607982384533455,0.5163582519303007,0.8142499822789311
everslc_wsa,28,339011.690551853,3323551861.39877,0.3633983695815519,0.6028253226114112,0.5221558993372201,0.7507259042221662
everslc_wsa,29,227322.400013131,1568973212.12576,0.3815407487144355,0.6176898483174509,0.31276633136239484,0.8051779501670948
everslc_wsa,3,187410.185584437,389756680.949016,0.1394495287199628,0.37342941598106966,0.40212410005498433,0.6189100606685809
everslc_wsa,30,117562.494499279,536677621.239096,0.4879617329816737,0.6985425777872625,0.4371604200557494,0.8188536736485916
everslc_wsa,31,241860.221059837,950914497.997707,0.20427839732662317,0.45197167757130885,0.41641767872263247,0.767279693443409
everslc_wsa,32,217968.310514597,747426535.029188,0.19769316762405933,0.44462699830763697,0.42312056060477354,0.7132553611917553
everslc_wsa,33,323460.02342791,1337549421.20206,0.16064916569323542,0.4008106357037391,0.3549900176689847,0.5727839602723368
everslc_wsa,34,455427.128462176,7009911793.46934,0.42470231065695935,0.6516918832216335,0.36693172200143964,0.8299127890275784
everslc_wsa,35,404191.377325835,5710071795.23169,0.4392151824503599,0.6627331155528295,0.387818470014259,0.8350931578084142
everslc_wsa,36,721741.032254768,8715697532.24155,0.21025639864506887,0.4585372380135215,0.5833241828906909,0.7158525356199862
everslc_wsa,37,199124.716612021,566969889.976415,0.17968818336247516,0.4238964299949637,0.24614088652216862,0.6711739495646918
everslc_wsa,38,227153.701823489,1104637631.96934,0.26902340236549077,0.5186746594595603,0.372433372306626,0.6945019472778575
